Time (s),Velocity (m/s),Mass (kg)
0.005999565124511719,0.07614133827827048,103326.1796875
0.1635143756866455,0.5652293046622678,103272.3359375
0.27802562713623047,0.9888555411877115,103218.4921875
0.38503336906433105,1.3415659764230636,103173.625
0.48903489112854004,1.765508802721893,103119.78125
0.5930287837982178,2.1208525749331906,103074.9140625
0.7140276432037354,2.549180785198658,103021.078125
0.822861909866333,2.906960269605455,102976.2109375
0.9369962215423584,3.337036782090414,102922.3671875
1.0549962520599365,3.7679459859079856,102868.53125
1.1789958477020264,4.199690057688111,102814.6796875
1.303997278213501,4.632254636146493,102760.84375
1.4239983558654785,5.065629748523311,102707.0078125
1.5429978370666504,5.49980650448031,102653.15625
1.650996446609497,5.934782780320564,102599.3203125
1.766996145248413,6.297876624012504,102554.4609375
1.8709959983825684,6.73432774434474,102500.6171875
1.986997127532959,7.0986535906,102455.7421875
2.097996473312378,7.536582334592311,102401.90625
2.222996950149536,7.975314646568242,102348.0625
2.3415110111236572,8.414849466476888,102294.2265625
2.463510036468506,8.855186986228098,102240.3828125
2.5805115699768066,9.296327837925228,102186.5390625
2.6965107917785645,9.738269723215431,102132.703125
2.8185110092163086,10.181013780153963,102078.859375
2.9425110816955566,10.624558536560073,102025.0234375
3.0665202140808105,11.068902794888531,101971.171875
3.181521415710449,11.514047698413748,101917.3359375
3.30552077293396,11.959991822416859,101863.5
3.4125216007232666,12.40673342083952,101809.65625
3.524343729019165,12.779626749590681,101764.7890625
3.6393423080444336,13.227829978675652,101710.9453125
3.7617993354797363,13.676829922723885,101657.109375
3.881422996520996,14.126625724362414,101603.265625
4.004422187805176,14.577214855323591,101549.421875
4.127422094345093,15.02859900729003,101495.578125
4.233421802520752,15.480776520308446,101441.7421875
4.348422050476074,15.85819786328138,101396.8671875
4.45842170715332,16.311828810640552,101343.0390625
4.584423780441284,16.76625091372427,101289.1875
4.693422079086304,17.221462870181348,101235.34375
4.805424451828003,17.60140973502524,101190.484375
4.917421102523804,18.058068383576703,101136.640625
5.0384228229522705,18.515515457811023,101082.8046875
5.151424407958984,18.97374932173205,101028.9609375
5.27442193031311,19.4327685768193,100975.1171875
5.378422737121582,19.815878933490705,100930.2578125
5.496422529220581,20.27633369131902,100876.40625
5.61742377281189,20.737576055505347,100822.5703125
5.73442268371582,21.199603549090916,100768.7265625
5.8564229011535645,21.66241160261347,100714.890625
5.982423305511475,22.126000914606294,100661.0390625
6.088423728942871,22.512920296785644,100616.171875
6.199422359466553,22.9779405702958,100562.3359375
6.309943675994873,23.366050349296188,100517.46875
6.422945261001587,23.832496049923623,100463.625
6.55694317817688,24.221794786510678,100418.765625
6.6849448680877686,24.689662826376665,100364.921875
6.813944578170776,25.158307689348025,100311.0859375
6.93994402885437,25.627726052945913,100257.234375
7.066944599151611,26.097918632333435,100203.3984375
7.191946744918823,26.568881514171743,100149.5546875
7.298944473266602,26.96194214791558,100104.6875
7.420944690704346,27.355535855006906,100059.8203125
7.553979158401489,27.828555630193033,100005.984375
7.691416501998901,28.302343934703323,99952.140625
7.826415777206421,28.77689886582365,99898.296875
7.955415964126587,29.252220896546387,99844.453125
8.092416524887085,29.72830982275797,99790.6171875
8.226416110992432,30.20516519501053,99736.7734375
8.366416454315186,30.682785818563985,99682.9296875
8.501417398452759,31.16116950286585,99629.09375
8.605414152145386,31.56040389215708,99584.2265625
8.734415531158447,31.96016728674108,99539.3515625
8.870415925979614,32.4405770564497,99485.515625
8.978416204452515,32.84149937196219,99440.6484375
9.101932048797607,33.242949089943124,99395.7890625
9.238134860992432,33.72538348419449,99341.9375
9.374178886413574,34.208573128052315,99288.1015625
9.512700319290161,34.69252184546358,99234.2578125
9.617699384689331,35.09638687963179,99189.390625
9.743700504302979,35.500774624621975,99144.5234375
9.88070011138916,35.98673058598549,99090.6796875
9.985700368881226,36.39226899271162,99045.8046875
10.117712259292603,36.79832920557459,99000.953125
10.226712226867676,37.20491038316041,98956.078125
10.36471438407898,37.61201177594861,98911.2109375
